#,LVL,YEAR,RUNNERS,EXP_R_OUTS_0,EXP_R_OUTS_1,EXP_R_OUTS_2
7,mlb,2004,120,1.5351,0.9685,0.4737
8,mlb,2004,123,2.3642,1.6206,0.752
1,mlb,2003,0,0.5339,0.2875,0.1095
2,mlb,2003,3,1.3729,0.9479,0.387
3,mlb,2003,20,1.1539,0.6933,0.3366
4,mlb,2003,23,1.9929,1.3537,0.6141
5,mlb,2003,100,0.9256,0.5444,0.2379
6,mlb,2003,103,1.7646,1.2048,0.5154
7,mlb,2003,120,1.5456,0.9502,0.465
8,mlb,2003,123,2.3846,1.6106,0.7425
1,mlb,2002,0,0.5197,0.2798,0.1062
2,mlb,2002,3,1.3719,0.9275,0.3793
3,mlb,2002,20,1.1259,0.6801,0.3287
4,mlb,2002,23,1.9781,1.3278,0.6018
5,mlb,2002,100,0.9038,0.5368,0.2304
6,mlb,2002,103,1.756,1.1845,0.5035
7,mlb,2002,120,1.51,0.9371,0.4529
8,mlb,2002,123,2.3622,1.5848,0.726
1,mlb,2001,0,0.5408,0.2927,0.1133
2,mlb,2001,3,1.3807,0.9504,0.387
3,mlb,2001,20,1.1501,0.6967,0.3407
4,mlb,2001,23,1.99,1.3544,0.6144
5,mlb,2001,100,0.9293,0.5573,0.2399
6,mlb,2001,103,1.7692,1.215,0.5136
7,mlb,2001,120,1.5386,0.9613,0.4673
8,mlb,2001,123,2.3785,1.619,0.741
